date,open,high,low,close,volume
1995-10-16,1.9511,1.9723,1.9511,1.9723,5259
1995-10-17,1.9723,1.9723,1.9723,1.9723,4513
1995-10-18,1.9617,1.9829,1.9617,1.9723,6108
1995-10-19,1.9829,1.9829,1.9723,1.9723,441
1995-10-20,1.9405,1.9405,1.9193,1.9193,1391
1995-10-23,1.8744,1.8744,1.7994,1.7994,2913
1995-10-24,1.778,1.8316,1.7566,1.8316,4319
1995-10-25,1.8208,1.8208,1.7887,1.7887,5621
1995-10-26,1.8101,1.8101,1.778,1.778,5415
1995-10-27,1.7566,1.853,1.7566,1.853,12442
1995-10-30,1.8744,1.8851,1.8209,1.853,5587
1995-10-31,1.9386,1.9707,1.9172,1.9279,7575
1995-11-01,1.9386,1.9386,1.9065,1.9172,3873
1995-11-02,1.9066,1.9494,1.9066,1.9494,1131
1995-11-03,1.9601,1.9601,1.9494,1.9601,3016
1995-11-06,1.9387,1.9708,1.9387,1.9708,9426
1995-11-07,1.928,1.9494,1.928,1.9494,1440
1995-11-08,1.9387,1.9387,1.9387,1.9387,2879
1995-11-09,1.9493,1.9493,1.9172,1.9172,1028
1995-11-10,1.9065,1.9172,1.9065,1.9172,960
1995-11-13,1.928,1.9601,1.9173,1.9601,1200
1995-11-14,1.9387,1.9601,1.9387,1.9601,1097
1995-11-15,1.9386,1.9386,1.9279,1.9279,480
1995-11-16,1.9601,1.9601,1.9494,1.9494,411
1995-11-17,1.9494,1.9601,1.9494,1.9494,960
1995-11-20,1.9494,1.9708,1.9494,1.9601,857
1995-11-21,1.9601,1.9601,1.9601,1.9601,0
1995-11-22,1.9708,1.9708,1.9708,1.9708,137
1995-11-24,1.9815,1.9815,1.9815,1.9815,34
1995-11-27,1.9815,1.9922,1.9815,1.9922,685
1995-11-28,1.9708,1.9815,1.9708,1.9815,583
1995-11-29,1.9601,1.9601,1.9601,1.9601,788
1995-11-30,1.9708,1.9708,1.9601,1.9708,1611
1995-12-01,1.9708,2.0029,1.9708,1.9922,2159
1995-12-04,2.0136,2.0136,2.0029,2.0136,480
1995-12-05,2.035,2.035,2.0136,2.0136,1405
1995-12-06,2.0244,2.0351,2.0137,2.0244,3633
1995-12-07,2.0136,2.0136,2.0136,2.0136,411
1995-12-08,2.0136,2.0136,2.0029,2.0136,651
1995-12-11,2.0029,2.0029,1.9922,1.9922,240
1995-12-12,1.9386,1.9493,1.9279,1.9279,1234
1995-12-13,1.9279,1.9279,1.9279,1.9279,583
1995-12-14,1.9279,1.9279,1.9279,1.9279,0
1995-12-15,1.9601,1.9601,1.9387,1.9387,617
1995-12-18,1.9065,1.9065,1.8851,1.8851,2331
1995-12-19,1.8744,1.8958,1.8744,1.8958,274
1995-12-20,1.9386,1.9386,1.9279,1.9279,308
1995-12-21,1.9279,1.9279,1.9279,1.9279,0
1995-12-22,1.928,1.9494,1.928,1.9494,240
1995-12-26,1.9494,1.9494,1.9494,1.9494,206
1995-12-27,1.9494,1.9601,1.9494,1.9601,240
1995-12-28,1.9494,1.9708,1.9494,1.9708,171
1995-12-29,1.9708,1.9708,1.9708,1.9708,69
1996-01-02,1.9708,1.9815,1.9601,1.9815,651
1996-01-03,1.9708,2.0136,1.9708,2.0029,7437
1996-01-04,2.003,2.0244,2.003,2.0244,480
1996-01-05,2.0244,2.0244,2.0244,2.0244,171
1996-01-08,2.0244,2.0351,2.0244,2.0351,3325
1996-01-09,2.0137,2.0244,2.0137,2.0244,343
1996-01-10,2.0029,2.0029,1.9708,1.9708,1302
1996-01-11,1.9708,1.9708,1.9494,1.9601,343
1996-01-12,1.9601,1.9601,1.9601,1.9601,0
1996-01-15,1.9815,1.9815,1.9815,1.9815,137
